show processes memory location all
Sat Dec 26 10:28:11.734 UTC

node:      node0_0_CPU0
------------------------------------------------------------------
JID          Text       Data      Stack    Dynamic Process
325         16384      28672      28672     647168 secontroller
206         20480      20480      61440     622592 inbarhb
85         720896     176128     167936     606208 sysmgr
183         69632      69632      24576     598016 flowtrap
118         24576      20480      65536     581632 alphadisplay
371          4096       8192      32768     557056 spio_ea
230         57344      32768      36864     552960 iphc_ma
294         20480      16384      32768     536576 platform_mgr_common
393          8192      12288      16384     536576 tunnel_ea
270         20480      16384      16384     503808 nd_partner
378         20480      16384      28672     503808 statsd_server
171         69632      36864      28672     487424 fhrp_output
274         36864      24576      32768     487424 nfma
142        122880      45056     106496     479232 cfgmgr-lc
281         69632      77824      61440     479232 online_diag_lc
153         24576      16384      77824     479232 ctrlio
203         20480      24576      16384     462848 imaedm_server
324         16384      12288      36864     446464 se_p2mp_server
65574      212992      53248      36864     438272 io-usb
282          8192       8192      36864     438272 p2mp_pd_app
380         28672     159744      16384     430080 svi_adj_mgr
372          4096       8192      20480     425984 spio_ma
268         65536      36864      16384     405504 mpls_io_ea
160         61440     102400      53248     405504 dumper_config
208         77824      53248      24576     393216 ntpdc
377         77824      32768      65536     393216 stats_svr
76          12288      12288      45056     389120 procmgr
191         45056      28672      24576     385024 fwd_driver_partner
234         40960      28672      32768     368640 ipv6_ea
170         16384      45056     122880     368640 fabio_svr
204         73728      40960      65536     335872 imdr
255         28672      20480      81920     331776 lc_fpga_upgrade
151         81920      61440      61440     315392 clns
286         90112      28672      20480     311296 pbr_ma
164         24576      16384      53248     311296 enf_broker
284          8192      12288      16384     311296 pak_capture_partner
131         77824      73728      32768     303104 bundlemgr_adj
266         36864     311296      16384     303104 mpls_fwd_show_proxy
397         32768      24576      81920     303104 upgrade_daemon
312         12288      12288      53248     294912 pse_fam
198          4096       8192      28672     294912 icpe_sdep
250         40960      45056      24576     290816 l2snoop
321         12288      16384      40960     282624 reddrv_listener
283         69632      45056      53248     278528 packet
141         24576      20480      16384     278528 cerrno_server
193         16384      16384      45056     278528 hbagent
272         12288      12288      16384     266240 netio_debug_partner
54          77824      53248     151552     253952 bfm_server
83           8192       8192      16384     253952 syslog_dev
75           8192      12288      32768     245760 pldmgr
156         12288      16384      45056     241664 diag_svr
79         159744      28672      16384     237568 random
77         172032      28672       8192     229376 devc-pty
140         73728      36864      24576     229376 cemgbl
82          28672      20480      24576     217088 shmwin_svr
258         24576      12288      28672     217088 licagent
279         20480      24576      69632     217088 obfl_config
120         32768      90112      32768     212992 asic_scan_server
254         24576      20480      61440     212992 lc_fpd_upgrade
239         16384      12288      16384     212992 ipv6nd_lite
196         12288      12288      28672     212992 hm
262         16384      16384      16384     208896 ltrace_sync
333         12288       8192      16384     208896 slarp_lite
252         20480       8192      16384     204800 lacp_lite
337         69632      32768      45056     200704 sld
84          32768      20480     114688     200704 syslogd_helper
376         28672      16384      40960     196608 ssm_process
52           8192      12288      40960     196608 attachd
330         32768      20480      16384     192512 showd_lc
386         20480      12288      16384     192512 sysmgr_show_proc_all_edm
278         12288      12288      16384     192512 nto_misc_shprocmem_edm
263          8192       8192      16384     184320 meminfo_svr
264          8192       8192      16384     184320 mempool_edm
314          8192      12288      28672     184320 qad_server
87          16384      12288      49152     180224 wd-critical-mon
154         16384      12288      16384     180224 debug_d
157          8192      12288      16384     180224 div2_dm
329          8192       8192      16384     180224 showd_server
136         24576      24576      20480     176128 cctl_spa_server
261         20480      16384      36864     176128 ltrace_server
138         16384      12288      28672     176128 cdma_server
280          8192       8192      32768     176128 obfl_pd_driver
59         630784     139264      20480     172032 i2c_server
135         16384      24576      20480     172032 cctl_server
277          8192       8192      20480     172032 npu_uart_logger
64          57344      24576      16384     167936 mediasvr
241         28672      12288      20480     167936 ixdb_gc
413         16384      16384      16384     167936 wd-stat-publisher
276          8192      12288      16384     167936 timezone_notify
311          8192      12288      16384     167936 procfind
390         32768      16384      16384     163840 top_procs
132         20480      28672      16384     163840 bundlemgr_checker
114          8192       8192      16384     159744 aipc_cleaner
287          8192      16384      16384     159744 pcds_daemon
65694        4096       8192      16384     159744 show_processes
385        720896     176128      20480     151552 sysmgr
86          77824      28672      53248     151552 umass-enum
51          12288      12288      20480     139264 attach_server
55         135168      40960      12288      77824 ksh
53         135168      40960      12288      77824 ksh-aux
72         131072      24576      45056      49152 pipe
67         126976      24576       8192      40960 mqueue
80         172032      28672       8192      32768 serdrvr
66         118784      24576       8192      32768 mq
1          502497      54740          0          0 procnto-smp-instr

node:      node0_2_CPU0
------------------------------------------------------------------
JID          Text       Data      Stack    Dynamic Process
------ ---------- ---------- ---------- ---------- -------
306        737280    4333568     282624   41938944 pse_pogo_driver
162        114688      65536     192512   24662016 egressq
297        188416      90112     368640   10428416 plim_1p_cge
379          4096       8192      32768    9986048 statsd_manager_l
315        356352     253952      90112    9719808 qos_ea
71         118784      69632      61440    8859648 pciesvr
271        163840     139264     147456    8720384 netio
65575      286720      53248     184320    5771264 devb-umass
184        622592     327680     339968    5095424 fabricq_mgr
240        561152     331776     282624    5095424 ingressq
233        499712     225280     135168    4845568 ipv4_mfwd_partner
293        196608      94208     114688    4714496 platform_mgr
237        466944     217088     114688    4435968 ipv6_mfwd_partner
384          4096       8192      57344    4145152 sysdb_svr_local
192        700416     733184     217088    3944448 gsp
56         192512      77824      57344    3764224 dllmgr
249        978944     630784     188416    3702784 l2fib_mgr
69          28672      20480      36864    3440640 nvram
172       3600384     884736     434176    3399680 fib_mgr
130        905216     536576     151552    3375104 bfd_agent
414         86016     925696     167936    3227648 wdsysmon
113        126976     139264      36864    2551808 aib
288         57344      49152      36864    2326528 pfilter_ea
290        102400      65536      32768    2174976 pifibm_server_lc
304         24576      16384      24576    2158592 plumm
382        200704      77824      81920    2117632 sysdb_mc
166         81920      40960      36864    1957888 ether_caps_partner
323        307200      98304      32768    1896448 rsi_agent
285        147456      57344      45056    1896448 pbr_ea
396          4096       8192      20480    1675264 uidb_svr
318         81920      32768      98304    1630208 qsm
60         118784      65536     114688    1617920 insthelper
111         65536      45056     102400    1601536 afmon_ea
238        454656     241664      61440    1536000 ipv6_nd
119        278528     581632      45056    1507328 arp
369         49152      28672      20480    1433600 span_ea
161         24576     389120      53248    1409024 eem_ed_sysmgr
231        135168      81920      86016    1396736 ipv4_io
200          4096       8192      40960    1384448 ifmgr
235         73728      57344      61440    1380352 ipv6_io
389         24576      16384      20480    1318912 tlumm
387        237568     303104      28672    1286144 tcam_mgr
73          16384      12288      57344    1261568 pkgfs
267         65536      36864      32768    1200128 mpls_io
65545       16384      12288      36864    1200128 pkgfs
236        262144     114688      77824    1146880 ipv6_ma
320        122880      36864     135168    1122304 rdsfs_svr
305        233472     192512      24576    1077248 pm_ma
289        122880      49152      28672    1003520 pfilter_ma
256         16384      16384      32768     983040 li_ea
232        274432     110592      77824     958464 ipv4_ma
259        172032      90112      57344     921600 lldp_agent
58          81920      57344      98304     917504 eth_server
134        610304     282624      53248     913408 bundlemgr_local
165        368640     290816     102400     901120 envmon
316        471040     196608      40960     851968 qos_ma
57         163840    1204224      98304     839680 dumper
117        118784     155648      69632     823296 aipc_proxy
78         167936     114688     114688     798720 qnet
194         49152      40960      90112     786432 fab_svr
398        131072      40960      16384     696320 vlan_ea
260        229376     167936      81920     688128 lrd
139         69632      57344      16384     684032 cdp
206         20480      20480      61440     622592 inbarhb
85         720896     176128     176128     602112 sysmgr
183         69632      69632      24576     598016 flowtrap
142        122880      45056     106496     565248 cfgmgr-lc
371          4096       8192      32768     557056 spio_ea
230         57344      32768      36864     552960 iphc_ma
294         20480      16384      32768     536576 platform_mgr_common
393          8192      12288      16384     536576 tunnel_ea
270         20480      16384      16384     503808 nd_partner
378         20480      16384      28672     503808 statsd_server
171         69632      36864      28672     487424 fhrp_output
274         36864      24576      32768     487424 nfma
153         24576      16384      77824     479232 ctrlio
281         69632      77824      57344     471040 online_diag_lc
118         24576      20480      65536     446464 alphadisplay
65574      212992      53248      36864     438272 io-usb
380         28672     159744      16384     430080 svi_adj_mgr
372          4096       8192      20480     425984 spio_ma
268         65536      36864      16384     405504 mpls_io_ea
160         61440     102400      57344     405504 dumper_config
377         77824      32768      65536     393216 stats_svr
191         45056      28672      24576     385024 fwd_driver_partner
76          12288      12288      45056     372736 procmgr
234         40960      28672      32768     368640 ipv6_ea
170         16384      45056     114688     368640 fabio_svr
204         73728      40960      65536     335872 imdr
255         28672      20480      81920     331776 lc_fpga_upgrade
70          90112      45056      77824     327680 obflmgr
203         20480      24576      16384     327680 imaedm_server
167         16384      12288      20480     319488 ether_sock
151         81920      61440      61440     315392 clns
286         90112      28672      20480     311296 pbr_ma
164         24576      16384      53248     311296 enf_broker
284          8192      12288      16384     311296 pak_capture_partner
131         77824      73728      32768     303104 bundlemgr_adj
266         36864     311296      16384     303104 mpls_fwd_show_proxy
397         32768      24576      81920     303104 upgrade_daemon
312         12288      12288      53248     294912 pse_fam
198          4096       8192      28672     294912 icpe_sdep
250         40960      45056      24576     290816 l2snoop
321         12288      16384      40960     282624 reddrv_listener
283         69632      45056      53248     278528 packet
141         24576      20480      16384     278528 cerrno_server
193         16384      16384      45056     278528 hbagent
272         12288      12288      16384     266240 netio_debug_partner
208         77824      53248      24576     258048 ntpdc
54          77824      53248     151552     253952 bfm_server
83           8192       8192      16384     253952 syslog_dev
75           8192      12288      32768     245760 pldmgr
156         12288      16384      45056     241664 diag_svr
79         159744      28672      16384     237568 random
77         172032      28672       8192     229376 devc-pty
140         73728      36864      24576     229376 cemgbl
82          28672      20480      24576     217088 shmwin_svr
258         24576      12288      28672     217088 licagent
279         20480      24576      69632     217088 obfl_config
120         32768      90112      24576     212992 asic_scan_server
254         24576      20480      61440     212992 lc_fpd_upgrade
239         16384      12288      16384     212992 ipv6nd_lite
196         12288      12288      28672     212992 hm
262         16384      16384      16384     208896 ltrace_sync
333         12288       8192      16384     208896 slarp_lite
84          32768      20480     122880     204800 syslogd_helper
252         20480       8192      16384     204800 lacp_lite
87          16384      12288      53248     204800 wd-critical-mon
337         69632      32768      45056     200704 sld
376         28672      16384      40960     196608 ssm_process
52           8192      12288      40960     196608 attachd
330         32768      20480      16384     192512 showd_lc
386         20480      12288      16384     192512 sysmgr_show_proc_all_edm
278         12288      12288      16384     192512 nto_misc_shprocmem_edm
314          8192      12288      28672     184320 qad_server
263          8192       8192      16384     184320 meminfo_svr
264          8192       8192      16384     184320 mempool_edm
157          8192      12288      16384     180224 div2_dm
329          8192       8192      16384     180224 showd_server
136         24576      24576      20480     176128 cctl_spa_server
261         20480      16384      36864     176128 ltrace_server
138         16384      12288      28672     176128 cdma_server
280          8192       8192      32768     176128 obfl_pd_driver
65694        4096       8192      16384     176128 show_processes
59         630784     139264      20480     172032 i2c_server
135         16384      24576      20480     172032 cctl_server
64          57344      24576      16384     167936 mediasvr
241         28672      12288      20480     167936 ixdb_gc
413         16384      16384      16384     167936 wd-stat-publisher
276          8192      12288      16384     167936 timezone_notify
311          8192      12288      16384     167936 procfind
390         32768      16384      16384     163840 top_procs
132         20480      28672      16384     163840 bundlemgr_checker
154         16384      12288      16384     163840 debug_d
287          8192      16384      16384     159744 pcds_daemon
114          8192       8192      16384     159744 aipc_cleaner
385        720896     176128      20480     151552 sysmgr
86          77824      28672      53248     151552 umass-enum
51          12288      12288      20480     139264 attach_server
55         135168      40960      12288      77824 ksh
53         135168      40960      12288      77824 ksh-aux
66         118784      24576       8192      65536 mq
72         131072      24576      45056      49152 pipe
67         126976      24576       8192      40960 mqueue
80         172032      28672       8192      32768 serdrvr
1          502497      54740          0          0 procnto-smp-instr

node:      node0_3_CPU0
------------------------------------------------------------------
JID          Text       Data      Stack    Dynamic Process
------ ---------- ---------- ---------- ---------- -------
311        442368     241664      90112   11059200 qos_ea
391          4096       8192      32768   10055680 statsd_manager_l
269        208896     135168     139264    9379840 netio
129       1089536     512000     217088    6553600 bfd_agent
396          4096       8192      61440    4624384 sysdb_svr_local
56         245760      81920      57344    4567040 dllmgr
190        880640     724992     208896    4558848 gsp
247       1142784     614400     188416    3944448 l2fib_mgr
231        675840     212992      90112    3837952 ipv4_mfwd_partner
171       4542464     811008     573440    3784704 fib_mgr
235        643072     208896      73728    3502080 ipv6_mfwd_partner
425        131072     921600     167936    3309568 wdsysmon
291        282624      86016     122880    3284992 platform_mgr
310        151552      98304      77824    3227648 fia_driver
399        315392     299008      24576    2789376 tcam_mgr
344          8192       8192     143360    2691072 spa_ge_v2
345          8192       8192     143360    2674688 spa_ge_v2
346          8192       8192     143360    2605056 spa_ge_v2
113        192512     135168      36864    2543616 aib
161        159744      61440     172032    2535424 egressq
286         77824      49152      36864    2379776 pfilter_ea
394        249856      69632      86016    2138112 sysdb_mc
411         98304      40960     131072    2068480 vpa_1p_oc192
182        724992       4096     184320    2015232 fabricq_mgr
319        430080      94208      32768    1998848 rsi_agent
165        118784      36864      36864    1896448 ether_caps_partner
288        135168      61440      36864    1810432 pifibm_server_lc
198          4096       8192      40960    1761280 ifmgr
314        114688      32768      98304    1757184 qsm
118        405504     561152      65536    1662976 arp
238        679936       4096     200704    1654784 ingressq
111         94208      45056      94208    1634304 afmon_ea
407          4096       8192      20480    1634304 uidb_svr
60         163840      65536     114688    1572864 insthelper
229        176128      77824      90112    1429504 ipv4_io
233        102400      57344      61440    1404928 ipv6_io
67          40960      20480      49152    1380352 nvram
236        602112     282624      65536    1359872 ipv6_nd
160         36864     385024      57344    1282048 eem_ed_sysmgr
71          24576      12288      65536    1265664 pkgfs
65553       24576      12288      36864    1253376 pkgfs
265         86016      32768      32768    1224704 mpls_io
234        368640     110592      77824    1183744 ipv6_ma
262        524288     262144     200704    1130496 pse_driver
287        163840      49152      28672    1089536 pfilter_ma
74         196608     118784     131072    1032192 qnet
316        147456      32768     114688    1024000 rdsfs_svr
380         77824      28672      20480    1015808 span_ea
253         24576      16384      32768     999424 li_ea
133        344064     274432      53248     995328 bundlemgr_local
256        270336      81920      57344     991232 lldp_agent
257        266240     159744      86016     970752 lrd
240        122880      77824     348160     950272 jacket
128        286720     143360      94208     933888 plaspa_server
230        372736     102400      77824     921600 ipv4_ma
301        356352     176128      20480     909312 pm_ma
57         212992    1191936      94208     909312 dumper
140        184320      45056     155648     876544 cfgmgr-lc
312        593920     188416      36864     872448 qos_ma
145        172032      57344      40960     856064 chdlc_ma
192         73728      40960      73728     819200 fab_svr
117        135168     155648      69632     794624 aipc_proxy
384        118784     172032      98304     782336 cpuctrl
409        188416      36864      16384     770048 vlan_ea
137        114688      53248      16384     737280 cdp
300         36864      16384      20480     704512 plumm
58          94208      57344     106496     663552 eth_server
204         28672      20480      49152     643072 inbarhb
401         36864      16384      20480     638976 tlumm
81         880640     167936     184320     630784 sysmgr
382          4096       8192      36864     585728 spio_ea
404         12288      12288      16384     581632 tunnel_ea
292         28672      20480      32768     573440 platform_mgr_common
268         28672      16384      16384     561152 nd_partner
390         28672      16384      28672     561152 statsd_server
228         86016      32768      36864     552960 iphc_ma
170         98304      36864      28672     540672 fhrp_output
272         49152      24576      32768     540672 nfma
201         28672      24576      20480     516096 imaedm_server
279        110592      69632      61440     512000 online_diag_lc
159         86016     102400      53248     487424 dumper_config
383          4096       8192      20480     487424 spio_ma
151         36864      20480      81920     479232 ctrlio
334         49152      20480      40960     471040 sonet_aps_agent
266         90112      36864      16384     442368 mpls_io_ea
189         65536      28672      24576     434176 fwd_driver_partner
392         40960     159744      16384     434176 svi_adj_mgr
202        106496      40960      69632     430080 imdr
232         53248      28672      32768     421888 ipv6_ea
206        126976      49152      24576     401408 ntpdc
144         61440      24576      16384     397312 chdlc_ea
169         24576      45056      73728     393216 fabio_svr
389        102400      32768      61440     389120 stats_svr
155         12288      16384      69632     380928 discovery
68         135168      45056      77824     376832 obflmgr
408         49152      24576      81920     376832 upgrade_daemon
146         28672      16384      20480     376832 chdlc_socket
149        106496      61440      53248     368640 clns
284        122880      28672      20480     364544 pbr_ma
283        212992      53248      20480     360448 pbr_ea
139         32768      20480      16384     360448 cerrno_server
282         12288      12288      16384     360448 pak_capture_partner
163         32768      16384      53248     348160 enf_broker
75         208896      28672      20480     311296 random
281         98304      40960      61440     311296 packet
130         77824      73728      32768     307200 bundlemgr_adj
73          53248      12288      12288     307200 devc-pty
264         53248     311296      16384     307200 mpls_fwd_show_proxy
166         24576      12288      20480     307200 ether_sock
317         16384      20480      40960     303104 reddrv_listener
191         24576      16384      45056     299008 hbagent
196          8192       8192      28672     299008 icpe_sdep
248         65536      45056      24576     294912 l2snoop
276         28672      24576      69632     294912 obfl_config
259         24576      16384      16384     290816 ltrace_sync
79           8192      12288      16384     290816 syslog_dev
270         20480      12288      16384     286720 netio_debug_partner
154         16384      16384      45056     278528 diag_svr
54         106496      49152     151552     274432 bfm_server
307         16384      12288      32768     262144 pse_fam
65707        4096       8192      16384     253952 show_processes
119         45056      90112      32768     249856 asic_scan_server
237         20480      12288      16384     249856 ipv6nd_lite
138         98304      36864      24576     245760 cemgbl
326         45056      20480      16384     245760 showd_lc
252         28672      20480      61440     245760 lc_fpd_upgrade
329         20480      12288      16384     245760 slarp_lite
194         16384      12288      28672     245760 hm
53         163840      24576      28672     241664 devf-scrp
250         24576      12288      16384     241664 lacp_lite
82          24576      12288      45056     241664 wd-critical-mon
80          40960      20480     114688     237568 syslogd_helper
78          40960      20480      28672     237568 shmwin_svr
255         36864      16384      28672     237568 licagent
309         12288      12288      24576     237568 qad_server
388         40960      20480      45056     233472 ssm_process
386         20480      12288      20480     233472 srp_port_mode_cfg_verifier
303         16384       8192      16384     233472 ppp_lite
156         12288      12288      16384     233472 div2_dm
51          12288      12288      40960     233472 attachd
135         28672      24576      20480     229376 cctl_spa_server
277         12288       8192      32768     229376 obfl_pd_driver
134         20480      24576      20480     225280 cctl_server
